Date,Close,High,Low,Open,Volume,Return_1,LogReturn_1,Momentum_5,Momentum_10,Momentum_20,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,BB_Mid,BB_Std,BB_Upper,BB_Lower,H-L,H-PC,L-PC,TrueRange,ATR_14,Volatility_20,Volume_SMA20,Volume_Normalized,OBV
2000-01-03,1455.219970703125,1478.0,1438.3599853515625,1469.25,931800000,,,,,,,1455.219970703125,1455.219970703125,0.0,0.0,,,,,39.6400146484375,,,39.6400146484375,,,,,0
2000-01-04,1399.4200439453125,1455.219970703125,1397.4300537109375,1455.219970703125,1009000000,-0.03834466807849768,-0.03909917534093754,,,,,1446.6353665865383,1451.086642795139,-4.451276208600575,-0.890255241720115,,,,,57.7899169921875,0.0,57.7899169921875,57.7899169921875,,,,,-1009000000
2000-01-05,1402.1099853515625,1413.27001953125,1377.6800537109375,1399.4200439453125,1085500000,0.0019221829913671495,0.0019203379615859717,,,,,1439.7853079350036,1447.458742243763,-7.673434308759397,-2.2468910551279713,,,,,35.5899658203125,13.8499755859375,21.739990234375,35.5899658203125,,,,,76500000
2000-01-06,1403.449951171875,1411.9000244140625,1392.0999755859375,1402.1099853515625,1092300000,0.0009556781096431433,0.0009552217400567997,,,,,1434.1952530483686,1444.1988317939936,-10.003578745624964,-3.79822859322737,,,,,19.800048828125,9.7900390625,10.010009765625,19.800048828125,,,,,1168800000
2000-01-07,1441.469970703125,1441.469970703125,1400.72998046875,1403.449951171875,1225200000,0.027090399268961063,0.026729949729870306,,,,,1435.3144403798694,1443.9966939354108,-8.682253555541365,-4.775033585690169,,,,,40.739990234375,38.02001953125,2.719970703125,40.739990234375,,,,,2394000000
2000-01-10,1457.5999755859375,1464.3599853515625,1441.469970703125,1441.469970703125,1064800000,0.011189969413615053,0.01112782487313968,0.001635494929101755,,,,1438.742984257726,1445.0043444280425,-6.261360170316493,-5.072298902615434,,,,,22.8900146484375,22.8900146484375,0.0,22.8900146484375,,,,,3458800000
2000-01-11,1438.56005859375,1458.6600341796875,1434.4200439453125,1457.5999755859375,1014000000,-0.013062511876438365,-0.013148576788903021,0.0279687394916055,,,,1438.7148418478835,1444.5269899217988,-5.812148073915296,-5.220268736875407,,,,,24.239990234375,1.06005859375,23.179931640625,24.239990234375,,,,,2444800000
2000-01-12,1432.25,1442.5999755859375,1427.0799560546875,1438.56005859375,974600000,-0.004386371327394056,-0.004396019678609697,0.02149618429604172,,,,1437.720250794363,1443.617583260925,-5.89733246656192,-5.35568148281271,,,,,15.52001953125,4.0399169921875,11.4801025390625,15.52001953125,,,,,1470200000
2000-01-13,1449.6800537109375,1454.199951171875,1432.25,1432.25,1030400000,0.012169700618563484,0.012096245165417407,0.032940328581336775,,,,1439.5602204738361,1444.066655146111,-4.506434672274963,-5.185832120705161,,,,,21.949951171875,21.949951171875,0.0,21.949951171875,,,,,2500600000
2000-01-14,1465.1500244140625,1473.0,1449.6800537109375,1449.6800537109375,1085900000,0.010671299962722536,0.010614763497340363,0.016427712121804827,,,,1443.497113387717,1445.6283862029964,-2.131272815279317,-4.574920259619993,,,,,23.3199462890625,23.3199462890625,0.0,23.3199462890625,,,,,3586500000
