Date,close,high,low,open,volume,returns,log_returns,ema_20,ema_50,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,vol_pct_change,target_1d,target_5d,target_20d
2010-03-16,1159.4599609375,1160.280029296875,1150.3499755859375,1150.8299560546875,4369770000,0.0077791163013856135,0.007749014983159959,1129.1562853321652,1113.8265942382814,73.96925742360636,12.392666297460437,5.201068524374481,7.191597773085956,1082.8793376527694,1123.9974914550783,1165.115645257387,7.316413802503964,0.9312264316744504,0.04938870490933245,1166.2099609375,1174.1700439453125,1210.6500244140625
2010-03-17,1166.2099609375,1169.8399658203125,1159.93994140625,1159.93994140625,4963200000,0.005821675803744153,0.005804795332563638,1132.6852068183875,1115.8808439127604,76.07664234678481,13.687917785754735,5.197056010135023,8.490861775619711,1083.8265333088054,1127.332489013672,1170.8384447185388,7.718389406648074,0.946806319892876,0.13580348622467553,1165.8299560546875,1167.719970703125,1211.6700439453125
2010-03-18,1165.8299560546875,1167.77001953125,1161.1600341796875,1166.1300048828125,4234510000,-0.0003258460273372066,-0.00032589912668909416,1135.841849602797,1117.8396326242087,75.70506235534106,14.516414513444488,4.820442190259822,9.695972323184666,1084.6920667567783,1130.2864868164063,1175.8809068760343,8.067763454918472,0.8897787184462241,-0.14681858478401033,1159.9000244140625,1165.72998046875,1192.1300048828125
2010-03-19,1159.9000244140625,1169.199951171875,1155.3299560546875,1166.6800537109375,5212410000,-0.005086446449439896,-0.005099426451612706,1138.1331043467271,1119.4890597532226,69.96242940404724,14.5270494311751,3.8648616863923486,10.662187744782752,1086.5357275696228,1132.8229858398438,1179.1102441100647,8.172019609207496,0.7924891167256585,0.23093581075496328,1165.81005859375,1166.5899658203125,1197.52001953125
2010-03-22,1165.81005859375,1167.8199462890625,1152.8800048828125,1157.25,4261680000,0.005095296193887933,0.005082359099180065,1140.7690047512056,1121.3055695116745,72.22385882007376,14.841286928845875,3.3432793472504976,11.498007581595378,1088.736298145974,1135.71298828125,1182.6896784165262,8.272634128516765,0.820340473390431,-0.1823973939118373,1174.1700439453125,1173.219970703125,1207.1700439453125
2010-03-23,1174.1700439453125,1174.719970703125,1163.8299560546875,1166.469970703125,4411640000,0.007170966908320198,0.0071453777848001715,1143.9500561030252,1123.378686156131,75.08169268024616,15.585246341916672,3.2697910082570356,12.315455333659637,1093.9129854697887,1139.691491699219,1185.469997928649,8.033490916243808,0.8765801364650906,0.03518800097614094,1167.719970703125,1173.27001953125,1205.93994140625
2010-03-24,1167.719970703125,1173.0400390625,1166.010009765625,1172.699951171875,4705750000,-0.005493304207041971,-0.0055084478872883084,1146.213857493511,1125.1175600599345,69.16856012401477,15.47597512381276,2.528415832122498,12.947559291690261,1098.4297591628717,1142.8154907226562,1187.2012222824408,7.767786124725579,0.7805460122576118,0.0666668177820493,1165.72998046875,1169.4300537109375,1208.6700439453125
2010-03-25,1165.72998046875,1180.68994140625,1165.0899658203125,1170.030029296875,5668900000,-0.001704167338318907,-0.0017056210833286789,1148.0725358721052,1126.710203997535,67.4047768597571,15.055253721999861,1.6861555442476792,13.369098177752182,1104.6707979283651,1145.954992675781,1187.239187423197,7.205203522176427,0.7394982863775805,0.20467513148807304,1166.5899658203125,1178.0999755859375,1217.280029296875
2010-03-26,1166.5899658203125,1173.9300537109375,1161.47998046875,1167.5799560546875,4708420000,0.000737722599547963,0.0007374506159884132,1149.8361006290772,1128.2741162258792,67.7870656485891,14.622661669171293,1.0028507931352877,13.619810876036006,1111.757634152544,1149.0599914550783,1186.3623487576126,6.492673590575128,0.7349714017141116,-0.1694296953553599,1173.219970703125,1187.43994140625,1212.050048828125
2010-03-29,1173.219970703125,1174.8499755859375,1167.7099609375,1167.7099609375,4375580000,0.005683234964352302,0.005667146312798056,1152.0631358742248,1130.0366987543987,70.6454492966808,14.645985531034967,0.8209397239991674,13.8250458070358,1116.6454968288087,1151.9354919433595,1187.2254870579102,6.127078358357575,0.8015653401293551,-0.07069038021247043,1173.27001953125,1189.43994140625,1183.7099609375
2010-03-30,1173.27001953125,1177.8299560546875,1168.9200439453125,1173.75,4085000000,4.265937281555665e-05,4.26584629303888e-05,1154.0828390796557,1131.732123098589,70.66660937374785,14.501345893074813,0.5410400688312098,13.960305824243603,1121.9516118500749,1154.6834899902344,1187.415368130394,5.669411301695563,0.7839209143671366,-0.06640948171442418,1169.4300537109375,1182.449951171875,1191.3599853515625
2010-03-31,1169.4300537109375,1174.56005859375,1165.77001953125,1171.75,4484340000,-0.00327287474868454,-0.00327824231803275,1155.5444785683492,1133.2104733186811,66.69425174287112,13.916444676607398,-0.03508891810896486,13.951533594716363,1128.5984695118525,1157.2154907226563,1185.8325119334602,4.9458413649359505,0.7134142980554135,0.09775764993880043,1178.0999755859375,1186.43994140625,1206.780029296875
2010-04-01,1178.0999755859375,1181.4300537109375,1170.68994140625,1171.22998046875,4006870000,0.0074138011482498545,0.007386454005524301,1157.6926211414527,1134.970845956613,70.69911209206613,13.991214475083098,0.031744704293387827,13.95946977078971,1134.8349927210545,1159.971990966797,1185.1089892125394,4.334069864013118,0.8605837189054769,-0.10647497736567701,1187.43994140625,1194.3699951171875,1186.68994140625
2010-04-05,1187.43994140625,1187.72998046875,1178.7099609375,1178.7099609375,3881620000,0.00792799084446738,0.007896729443087884,1160.5256992619097,1137.0284575428732,74.28625225821115,14.635419260408526,0.5407595916950534,14.094659668713472,1136.5161525102735,1162.4089904785158,1188.301828446758,4.455030575354245,0.9833566517203499,-0.03125881298869193,1189.43994140625,1196.47998046875,1202.260009765625
2010-04-06,1189.43994140625,1191.800048828125,1182.77001953125,1186.010009765625,4086180000,0.0016842957106795176,0.001682878875349027,1163.2794366089897,1139.0838098512409,74.99226306723229,15.132896864177383,0.8305897563711273,14.302307107806255,1138.944354011553,1164.955987548828,1190.967621086103,4.465685195885518,0.9706346839450928,0.052699646024082725,1182.449951171875,1197.300048828125,1173.5999755859375
2010-04-07,1182.449951171875,1189.5999755859375,1177.25,1188.22998046875,5101430000,-0.005876707172041695,-0.005894042967262019,1165.1051999006932,1140.784442844207,67.96827924217719,14.792597795850497,0.3922325504353932,14.400365245415104,1142.6421559605276,1167.0559875488282,1191.4698191371288,4.183832112386834,0.8152713568816419,0.24845944133640718,1186.43994140625,1210.6500244140625,1165.8699951171875
2010-04-08,1186.43994140625,1188.550048828125,1175.1199951171875,1181.75,4726970000,0.003374341747336196,0.0033686614308549275,1167.1370800440795,1142.5748545525225,69.71215433139375,14.675694922884986,0.22026374197590393,14.455431180909082,1145.4170716717026,1169.0974853515627,1192.7778990314227,4.051058868326804,0.8661772190541774,-0.07340294780091072,1194.3699951171875,1211.6700439453125,1128.1500244140625
2010-04-09,1194.3699951171875,1194.6600341796875,1187.1500244140625,1187.469970703125,4511570000,0.00668390656297202,0.00666166829683167,1169.730691003423,1144.6060365354506,72.87314705887435,15.049456843538337,0.47522053010340315,14.574236313434934,1146.8119193251944,1171.3039855957031,1195.7960518662119,4.18201706332495,0.9708873736238923,-0.045568302739386946,1196.47998046875,1192.1300048828125,1110.8800048828125
2010-04-12,1196.47998046875,1199.199951171875,1194.7099609375,1194.93994140625,4607090000,0.0017666094762833762,0.0017650508571401095,1172.2782423810731,1146.6403088465604,73.66081899895013,15.339104395245386,0.611894465448362,14.727209929797024,1148.8311185943141,1173.6284851074217,1198.4258516205293,4.225760848133794,0.9607645604070343,0.021172230509556522,1197.300048828125,1197.52001953125,1159.72998046875
2010-04-13,1197.300048828125,1199.0400390625,1188.8199462890625,1195.93994140625,5403580000,0.0006854008197059169,0.0006851660398368415,1174.6612715665067,1148.6269653164256,73.9770883789805,15.45665018784075,0.5835522064349803,14.87309798140577,1151.528014528427,1175.9679870605469,1200.4079595926667,4.1565710633348125,0.936417466090497,0.1728835338575978,1210.6500244140625,1207.1700439453125,1155.7900390625
